Date,Open,High,Low,Close
2013/9/1,21948.7207,23554.33984,21948.7207,22859.85938
2013/10/1,22997.21094,23534.66992,22640.17969,23206.36914
2013/11/1,23208.80078,24014.81055,22463.40039,23881.28906
2013/12/1,23936.15039,24111.55078,22713.69922,23306.39063
2014/1/1,23452.75977,23469.33008,21746.23047,22035.41992
2014/2/1,21561.69922,22986.69922,21197.7793,22836.96094
2014/3/1,22630.76953,22839.42969,21137.60938,22151.06055
2014/4/1,22292.32031,23224.53906,22096.94922,22133.9707
2014/5/1,22194.66016,23209.25977,21680.33008,23081.65039
2014/6/1,23327.50977,23397.76953,22802.09961,23190.7207
2014/7/1,23326.5293,24912.2207,23126.67969,24756.84961
2014/8/1,24594.23047,25243.16016,24190.92969,24742.06055
2014/9/1,24703.74023,25362.98047,22855.03906,22932.98047
2014/10/1,22691.58984,24046.40039,22565.59961,23998.06055
2014/11/1,24133.44922,24313.06055,23252.63086,23987.44922
2014/12/1,23678,24189.58984,22529.75,23605.03906
2015/1/1,23699.19922,24995.08008,23312.5,24507.05078
2015/2/1,24347.26953,25101.96094,24226.28906,24823.28906
2015/3/1,24996.75977,25113.19922,23677.06055,24900.89063
2015/4/1,24955.19922,28588.51953,24926.10938,28133
2015/5/1,28231.25977,28524.59961,27191.0293,27424.18945
2015/6/1,27373.06055,27854.74023,25617.7793,26250.0293
2015/7/1,26459.42969,26459.42969,22836.82031,24636.2793
2015/8/1,24533.14063,24924.07031,20865.25977,21670.58008
2015/9/1,21692.7793,22228.58984,20368.11914,20846.30078
2015/10/1,21172.93945,23423.64063,21130.10938,22640.03906
2015/11/1,22502.2793,23342.07031,21907.34961,21996.41992
2015/12/1,22197.81055,22563.4707,21010.25977,21914.40039
2016/1/1,21782.61914,21794.83984,18534.30078,19683.10938
2016/2/1,19770.96094,19770.96094,18278.80078,19111.92969
2016/3/1,19259.99023,20872.55078,19108.30078,20776.69922
2016/4/1,20786.17969,21654.07031,20045.4707,21067.05078
2016/5/1,21061.76953,21061.76953,19594.60938,20815.08984
2016/6/1,20726.5293,21352.36914,19662.69922,20794.36914
2016/7/1,20967.4707,22300.50977,20304.39063,21891.36914
